,full_text,created_at
377,john foley un tudiant en mdecine de ans est dcd un jour aprs avoir reu le vaccin jampjil laissant sa famille dvas,2021-04
378,uk prime minister boris johnson announces massive investment new scientific task force develop new anti viral medicines,2021-04
379,early figures ukfor every patients admitted hospital covid vaccine least,2021-04
380,today pm said india worlds largest drive three months india vac,2021-04
381,worrying development uk need vigilant,2021-04
382,dont see numbers yellow card report,2021-04
383,well bit spicier tv debatesa visibly furious nicola sturgeon hustings insists ind,2021-04
384,best vaccine roll world best covid exit strategy western country yes dont agree approach id rather uk right peer nation,2021-04
385,essentially deaths virtually hospitalisations vaccine supply continues unhindered really go,2021-04
386,woman uk goes doctor appointment heart condition doctor gives covid19 vaccineshe suf,2021-04
387,also news israel,2021-04
388,uk parliament astrazeneca vaccine side affects stop media blackout sign petition v,2021-04
389,originally us hospitalitywith big names operators signed charter state accept v,2021-04
390,safe safe must think globally financing vaccine development mostly public,2021-04
391,taste things come covid police state dont vaccine passport youll treated,2021-04
392,early figures ukfor every patients admitted hospital covid vaccine least,2021-04
393,scotland couldnt done along uk nations part euwait,2021-04
394,cant think anyone less qualified say vaxxed think taking advice real experts whove censored foolcovid vaccine blood clot nearly killed others still get jab,2021-04
395,obvious would happen blairites always leading promoters policestate agenda introduce,2021-04
396,well bit spicier tv debatesa visibly furious nicola sturgeon hustings insists ind,2021-04
397,lefties go boris wasnt amp uk govt moving quickly putting together vaccine task f,2021-04
398,originally us hospitalitywith big names operators signed charter state accept v,2021-04
399,originally us hospitalitywith big names operators signed charter state accept v,2021-04
400,originally us hospitalitywith big names operators signed charter state accept v,2021-04
401,uk gov document reveals disgusting tactics used coerce brits experimental c0v,2021-04
402,important get article trending hideous announcement hancock authorities c,2021-04
403,important get article trending hideous announcement hancock authorities c,2021-04
404,originally us hospitalitywith big names operators signed charter state accept v,2021-04
405,delusional nicola sturgeon refuses credit union vaccine success via,2021-04
406,jampj vaccine clot risk rare news johnson amp johnson vaccine eu regulator says blood clot rare side effect,2021-04
407,scotland couldnt done along uk nations part euwait,2021-04
408,early figures ukfor every patients admitted hospital covid vaccine least,2021-04
409,lo que mencionado ayer reciente informe desde farmacovigilancia en ru mhra yellow card schemepuede ser,2021-04
410,britons first dose covid vaccine become infected variants,2021-04
411,successful campaigning looks like seems gov scrapped plans introduce vaccine passports attend vario,2021-04
412,one extremely rich powerful person dies covid despite two vaccine jabs see uk adopt,2021-04
413,muere una nia de aos seis das despus de recibir la vacuna de pfizerla relacin causaefecto es evidente ya que,2021-04
414,vaccine uptake tripled among ethnic minority communities since february says dr nikki kanani medical director,2021-04
415,,2021-04
416,righto sturgoid far better scotland act things independently uk fund vacc,2021-04
417,question government scientific advisors desperately want vaccinate every man wo,2021-04
418,dont get option vote lockdown vaccine passports digital government currency etcboris gone mad uk going hell handcart,2021-04
419,originally us hospitalitywith big names operators signed charter state accept v,2021-04
420,thousands retweets implying x surge b1617 variant related school openings ukand rising despite vac,2021-04
421,scotland couldnt done along uk nations part euwait,2021-04
422,letting countries create generic versions best way combat spread vacciner,2021-04
423,worried worrisome propsito de este tweet en donde andrea nos alerta sobre los recien,2021-04
424,everyone parties form vaccine passport,2021-04
425,uk gov outperformed countries including eu acquisition covi,2021-04
426,vaccine passports thin end nasty insidious authoritarian wedge,2021-04
427,government data show reported adverse reactions jab132000 pfizer astra zeneca th,2021-04
428,india asked vaccine patent lifted temporarily nations could mass p,2021-04
